DomainName,IP,IPType,Category
"000.wine.","195.110.124.133",4,"Unknown language"
"001.wine.","103.56.100.88",4,"Unknown language"
"0049.wine.","89.31.143.1",4,"Unknown language"
"007.wine.","103.56.100.88",4,"Unknown language"
"008.wine.","23.234.27.100",4,"Unknown language"
"009.wine.","23.234.27.100",4,"Unknown language"
"010.wine.","184.168.221.55",4,"Unknown language"
"020.wine.","50.63.202.43",4,"Unknown language"
"021.wine.","184.168.221.58",4,"Unknown language"
"022.wine.","50.63.202.52",4,"Unknown language"
"023.wine.","23.234.27.100",4,"Unknown language"
"025.wine.","23.234.27.100",4,"Unknown language"
"027.wine.","23.234.27.100",4,"Unknown language"
"028.wine.","23.234.27.100",4,"Unknown language"
"029.wine.","23.234.27.100",4,"Unknown language"
"086.wine.","23.234.27.209",4,"Unknown language"
"1.wine.","52.0.7.30",4,"art and entertainment"
"1-2-3.wine.","89.31.143.1",4,"Unknown language"
"10000.wine.","23.234.27.100",4,"Unknown language"
"1000curvas.wine.","160.153.137.19",4,"society"
"1000islands.wine.","184.168.221.20",4,"travel"
"100notout.wine.","208.91.197.91",4,"business and industrial"
"100storie100vini.wine.","62.149.128.72",4,"technology and computing"
"101.wine.","192.155.81.104",4,"shopping"
"1026.wine.","184.168.221.61",4,"Unknown language"
"111.wine.","23.234.27.100",4,"Unknown language"
"112.wine.","23.234.27.100",4,"Unknown language"
"1122.wine.","23.234.27.100",4,"Unknown language"
"114.wine.","23.234.27.100",4,"Unknown language"
"118.wine.","23.234.27.100",4,"Unknown language"
"122.wine.","23.234.27.100",4,"Unknown language"
"123.wine.","23.234.27.100",4,"Unknown language"
"12345.wine.","121.199.250.20",4,"Unknown language"
"125.wine.","107.186.245.118",4,"Unknown language"
"128.wine.","208.113.162.59",4,"science"
"129.wine.","23.234.27.100",4,"Unknown language"
"1299.wine.","23.234.27.100",4,"Unknown language"
"12bouteilles.wine.","217.70.184.38",4,"Unknown language"
"12gradi.wine.","195.110.124.133",4,"Unknown language"
"131.wine.","107.186.245.118",4,"Unknown language"
"132.wine.","107.186.245.118",4,"Unknown language"
"133.wine.","23.234.27.100",4,"Unknown language"
"135.wine.","23.234.27.100",4,"Unknown language"
"136.wine.","107.186.245.118",4,"Unknown language"
"138.wine.","107.186.245.118",4,"Unknown language"
"139.wine.","23.234.27.100",4,"Unknown language"
"149.wine.","45.77.73.248",4,"technology and computing"
"151.wine.","107.186.245.118",4,"Unknown language"
"152.wine.","107.186.245.118",4,"Unknown language"
"153.wine.","107.186.245.118",4,"Unknown language"
"155.wine.","107.186.245.118",4,"Unknown language"
"156.wine.","107.186.245.118",4,"Unknown language"
"157.wine.","107.186.245.118",4,"Unknown language"
"159.wine.","23.234.27.100",4,"Unknown language"
"161.wine.","107.186.245.118",4,"Unknown language"
"162.wine.","107.186.245.118",4,"Unknown language"
"165.wine.","107.186.245.118",4,"Unknown language"
"166.wine.","23.234.27.100",4,"Unknown language"
"168.wine.","52.0.7.30",4,"art and entertainment"
"1688.wine.","23.234.27.100",4,"Unknown language"
"169.wine.","23.234.27.100",4,"Unknown language"
"1699.wine.","23.234.27.100",4,"Unknown language"
"1729.wine.","23.234.27.100",4,"Unknown language"
"178.wine.","23.234.27.100",4,"Unknown language"
"179.wine.","23.234.27.209",4,"Unknown language"
"1799.wine.","23.234.27.100",4,"Unknown language"
"181.wine.","23.234.27.100",4,"Unknown language"
"1812.wine.","184.168.221.60",4,"Unknown language"
"182.wine.","107.186.245.118",4,"Unknown language"
"183.wine.","107.186.245.118",4,"Unknown language"
"185.wine.","23.234.27.100",4,"Unknown language"
"1855.wine.","193.169.64.193",4,"technology and computing"
"186.wine.","107.186.245.118",4,"Unknown language"
"1865.wine.","184.168.221.32",4,"Unknown language"
"187.wine.","107.186.245.118",4,"Unknown language"
"188.wine.","23.234.27.100",4,"Unknown language"
"1881.wine.","188.213.163.181",4,"science"
"1888.wine.","23.234.27.100",4,"Unknown language"
"189.wine.","23.234.27.100",4,"Unknown language"
"1899.wine.","23.234.27.100",4,"Unknown language"
"19.wine.","23.94.33.81",4,"Unknown language"
"190.wine.","23.234.27.100",4,"Unknown language"
"191.wine.","107.186.245.118",4,"Unknown language"
"1918.wine.","23.234.27.209",4,"Unknown language"
"1919.wine.","23.94.33.81",4,"Unknown language"
"1927.wine.","23.236.62.147",4,"Unknown language"
"195.wine.","23.234.27.100",4,"Unknown language"
"198.wine.","173.10.122.35",4,"education"
"199.wine.","184.168.221.53",4,"Unknown language"
"1a.wine.","89.31.143.1",4,"Unknown language"
"1stcut.wine.","184.168.221.54",4,"Unknown language"
"1stxi.wine.","184.168.221.33",4,"Unknown language"
"2.wine.","52.0.7.30",4,"art and entertainment"
"200monges.wine.","217.76.128.35",4,"Unknown language"
"2016.wine.","217.19.184.166",4,"Unknown language"
"202.wine.","107.186.245.118",4,"Unknown language"
"209.wine.","23.234.27.100",4,"Unknown language"
"2099.wine.","23.234.27.100",4,"Unknown language"
"212.wine.","107.186.245.118",4,"Unknown language"
"213.wine.","107.186.245.118",4,"Unknown language"
"215.wine.","107.186.245.118",4,"Unknown language"
"216.wine.","107.186.245.118",4,"Unknown language"
"217.wine.","107.186.245.118",4,"Unknown language"
"218.wine.","23.234.27.100",4,"Unknown language"
"219.wine.","23.234.27.100",4,"Unknown language"
"2199.wine.","23.234.27.100",4,"Unknown language"
"222.wine.","23.234.27.100",4,"Unknown language"
"223.wine.","23.234.27.100",4,"Unknown language"
"2233.wine.","23.234.27.100",4,"Unknown language"
"228.wine.","103.56.100.88",4,"Unknown language"
"231.wine.","107.186.245.118",4,"Unknown language"
"232.wine.","107.186.245.118",4,"Unknown language"
"235.wine.","107.186.245.118",4,"Unknown language"
"236.wine.","107.186.245.118",4,"Unknown language"
"237.wine.","107.186.245.118",4,"Unknown language"
"238.wine.","23.234.27.100",4,"Unknown language"
"239.wine.","23.234.27.100",4,"Unknown language"
"2399.wine.","23.234.27.100",4,"Unknown language"
"247.wine.","52.0.217.44",4,"Unknown language"
"249.wine.","23.234.27.100",4,"Unknown language"
"24h.wine.","89.31.143.1",4,"technology and computing"
"251.wine.","107.186.245.118",4,"Unknown language"
"252.wine.","107.186.245.118",4,"Unknown language"
"253.wine.","107.186.245.118",4,"Unknown language"
"256.wine.","23.234.27.100",4,"Unknown language"
"257.wine.","107.186.245.118",4,"Unknown language"
"259.wine.","107.186.245.118",4,"Unknown language"
"2599.wine.","23.234.27.100",4,"Unknown language"
"261.wine.","107.186.245.118",4,"Unknown language"
"262.wine.","107.186.245.118",4,"Unknown language"
"263.wine.","23.234.27.100",4,"Unknown language"
"265.wine.","23.234.27.100",4,"Unknown language"
"267.wine.","107.186.245.118",4,"Unknown language"
"268.wine.","23.234.27.100",4,"Unknown language"
"269.wine.","107.186.245.118",4,"Unknown language"
"271.wine.","107.186.245.118",4,"Unknown language"
"273.wine.","107.186.245.118",4,"Unknown language"
"275.wine.","107.186.245.118",4,"Unknown language"
"276.wine.","107.186.245.118",4,"Unknown language"
"278.wine.","107.186.245.118",4,"Unknown language"
"279.wine.","107.186.245.118",4,"Unknown language"
"281.wine.","107.186.245.118",4,"Unknown language"
